NETCDF_VARIABLE_ID,long_name,ORIGINATOR_UNITS,VARIABLE_TYPE,DATA_TYPE,PYTHON_DATA_TYPE,DIMENSIONS,coordinates,standard_name,P07,units,calendar,valid_min,valid_max,axis,ancillary_variables,positive,sdn_parameter_urn,sdn_uom_urn,sdn_parameter_name,sdn_uom_name,grid_mapping,fill_value,atlantosEVid,atlantosEVname,calibration,instrument,deployment,cf_role,grid_mapping_name,epsg_code,semi_major_axis,inverse_flattening,COMMENTS
TIME,Time,seconds,Coordinate,float64,f8,"'INSTANCE', 'MAXT'",,time,CFSN0115,seconds since 1970-01-01T00:00:00Z,standard,0,9000000000,T,TIME_SEADATANET_QC,,SDN:P01::ELTMEP01,SDN:P06::UTBB,Elapsed time relative to 1970-01-01T00:00:00Z,Seconds,,-1,,,,,,,,,,,
crs,, -,Scalar auxilliary coordinate,int32,i4,,,,,,,,,,,,,,,,,,,,,,,,latitude_longitude,EPSG:4326,6378137,298.2572236,
LATITUDE,Latitude,degrees,Coordinate,float64,f8,"'INSTANCE', 'MAXT'",,latitude,CFSN0600,degrees_north,,-90,90,Y,POSITION_SEADATANET_QC,,SDN:P01::ALATGP01,SDN:P06::DEGN,Latitude north relative to WGS84 by unspecified GPS system,Degrees north,crs,-99,,,,,,,,,,,
LONGITUDE,Longitude,degrees,Coordinate,float64,f8,"'INSTANCE', 'MAXT'",,longitude,CFSN0554,degrees_east,,-180,180,X,POSITION_SEADATANET_QC,,SDN:P01::ALONGP01,SDN:P06::DEGE,Longitude east relative to WGS84 by unspecified GPS system,Degrees east,crs,-999,,,,,,,,,,,
DEPTH,DepBelowSurf,m,Coordinate,float32,f4,"'INSTANCE', 'MAXT'",,depth,CFSN0721,m,,0,9999,Z,DEPTH_SEADATANET_QC,down,SDN:P01::ADEPZZ01,SDN:P06::ULAA,Depth (spatial coordinate) relative to water surface in the water body,Metres,,-1,,,,,,,,,,,This is for gliders so make 0
trajectory,Trajectory identifier, -,Scalar auxilliary coordinate,string,S1,"'INSTANCE','STRING80'",,,,,,,,,,,,,,,,,,,,,,trajectory_id,,,,,
atten,beam attenuation,/m,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,,,0,400,,atten_SEADATANET_QC,,SDN:P01::ATTNZZ01,SDN:P06::UPRM,Attenuation (unspecified wavelength) per unit length of the water body by transmissometer,per metre,,-1,,,,,,,,,,,
airtemp,air temperature ,deg C,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,air_temperature,CFSN0023,degC,,-40,60,,airtemp_SEADATANET_QC,,SDN:P01::CDTAZZ01,SDN:P06::UPAA,Temperature of the atmosphere by thermometer,Degrees Celsius,,-99,SDN:A05::EV_AIRTEMP,Air temperature,,,,,,,,,
airtemp2,air temperature (sensor 2),deg C,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,air_temperature,CFSN0023,degC,,-40,60,,airtemp2_SEADATANET_QC,,SDN:P01::CDTAZZ02,SDN:P06::UPAA,Temperature of the atmosphere by thermometer (second sensor),Degrees Celsius,,-99,,,,,,,,,,,
bathydep_es,sea floor depth single beam echosounder,m,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,sea_floor_depth_below_sea_surface,CFV13N17,m,,0,12000,,bathydep_es_SEADATANET_QC,,SDN:P01::MBANZZ01,SDN:P06::ULAA,Sea-floor depth (below instantaneous sea level) {bathymetric depth} in the water body by echo sounder,Metres,,-1,SDN:A05::EV_BATHY,Bottom depth,,,,,,,,,
bathydep_mb,sea floor depth swath central beam,m,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,sea_floor_depth_below_sea_surface,CFV13N17,m,,0,12000,,bathydep_mb_SEADATANET_QC,,SDN:P01::MBANSWCB,SDN:P06::ULAA,Sea-floor depth (below instantaneous sea level) {bathymetric depth} in the water body by multibeam echo sounder central beam,Metres,,-1,SDN:A05::EV_BATHY,Bottom depth,,,,,,,,,
beamtrans_fract,beam transmittance,0 > Tr > 1,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,Dmnless,,0,100,,beamtrans_fract_SEADATANET_QC,,,,,,,,,,,,,,,,,,
beamtrans,beam transmittance,%,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,%,,0,100,,beamtrans_SEADATANET_QC,,SDN:P01::POPTZZ01,SDN:P06::UPCT,Transmittance (unspecified wavelength) per unspecified length of the water body by transmissometer,Percent,,-1,,,,,,,,,,,
conduct,electrical conductivity,S/m,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,sea_water_electrical_conductivity,CFSN0394,S/m,,0,7,,conduct_SEADATANET_QC,,SDN:P01::CNDCSG01,SDN:P06::UECA,Electrical conductivity of the water body by thermosalinograph,Siemens per metre,,-1,,,,,,,,,,,
flow,flow meter,l/min,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,l/min,,0,999,,flow_SEADATANET_QC,,SDN:P01::INFLTF01,SDN:P06::ULPM,Flow rate through instrument,Litres per minute,,-1,,,,,,,,,,,
flow2,flow meter (sensor 2),l/min,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,l/min,,,,,flow2_SEADATANET_QC,,,,,,,,,,,,,,,,,,
flow3,flow meter (sensor 3),l/min,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,l/min,,,,,flow3_SEADATANET_QC,,,,,,,,,,,,,,,,,,
fluor_output,fluorometer instrument output,volts,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,V,,-1,10,,fluor_output_SEADATANET_QC,,SDN:P01::FVLTZZ01,SDN:P06::UVLT,Raw signal (voltage) of instrument output by in-situ chlorophyll fluorometer,Volts,,-9,,,,,,,,,,,
fluorescence,chlorophyll fluorescence,ug/l,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,mass_fraction_of_chlorophyll_a_in_sea_water,ORZ7DVDT,mg/m^3,,0,999,,fluorescence_SEADATANET_QC,,SDN:P01::CPHLZZXX,SDN:P06::UMMC,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase],Milligrams per cubic metre,,-1,SDN:A05::EV_CHLA,Chlorophyll-a and fluorescence,,,,,,,,,
gndcourse,course over the ground,degrees T,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,platform_course,CFSN0481,deg T,,0,360,,gndcourse_SEADATANET_QC,,SDN:P01::APDAGP01,SDN:P06::UABB,Direction of motion of measurement platform relative to ground surface {course made good} by unspecified GPS system,Degrees True,,-1,,,,,,,,,,,
gndspeed_ms,speed over the ground,m/s,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,platform_speed_wrt_ground,CFSN0445,m/s,,0,500,,gndspeed_ms_SEADATANET_QC,,SDN:P01::APSAGP01,SDN:P06::UVAA,Speed of measurement platform relative to ground surface {speed over ground} by unspecified GPS system,Metres per second,,-1,,,,,,,,,,,
gndspeed,speed over the ground,knots,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,platform_speed_wrt_ground,CFSN0445,Knots,,0,500,,gndspeed_SEADATANET_QC,,SDN:P01::APSAGP01,SDN:P06::UKNT,Speed of measurement platform relative to ground surface {speed over ground} by unspecified GPS system,Knots (nautical miles per hour),,-1,,,,,,,,,,,
heading,ships heading,degrees T,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,platform_orientation,CFSN0439,deg T,,0,360,,heading_SEADATANET_QC,,SDN:P01::HEADCM01,SDN:P06::UABB,Orientation (horizontal relative to true north) of measurement device {heading},Degrees True,,-9,,,,,,,,,,,
heave,ships heave,m,,float32,f4,"INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,platform_heave,PBL8WDD1,m,,-25,25,,heave_SEADATANET_QC,,SDN:P01::HEAVZZZZ,SDN:P06::ULAA,Vertical displacement {heave},Metres,,-99,,,,,,,,,,,
humidity,relative humidity,%,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,relative_humidity,CFSN0413,%,,0,110,,humidity_SEADATANET_QC,,SDN:P01::CRELZZ01,SDN:P06::UPCT,Relative humidity of the atmosphere,Percent,,-1,SDN:A05::EV_AIRHUM,Air humidity,,,,,,,,,
humidity2,relative humidity (sensor 2),%,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,relative_humidity,CFSN0413,%,,0,110,,humidity2_SEADATANET_QC,,SDN:P01::CRELZZ02,SDN:P06::UPCT,Relative humidity of the atmosphere by second sensor,Percent,,-1,,,,,,,,,,,
par,photosynthetically active radiation,uE/m^2/s,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,uE/m^2/s,,0,2800,,par_SEADATANET_QC,,SDN:P01::IRRDSV01,SDN:P06::UMES,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the atmosphere by cosine-collector radiometer,MicroEinsteins per square metre per second,,-1,,,,,,,,,,,
par2,photosynthetically active radiation (sensor 2),uE/m^2/s,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,uE/m^2/s,,0,2800,,par2_SEADATANET_QC,,SDN:P01::PARERXSD,SDN:P06::UMES,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the atmosphere by cosine-collector radiometer (second sensor),MicroEinsteins per square metre per second,,-1,,,,,,,,,,,
pitch,ships pitch,degrees,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,platform_pitch,UOMSLR0H,deg,,-180,180,,pitch_SEADATANET_QC,,SDN:P01::PTCHGP01,SDN:P06::UAAA,Orientation (pitch) of measurement device by unspecified GPS system,Degrees,,-999,,,,,,,,,,,
ppar,port photosyntically active radiation,W/m2,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,W/m^2,,0,1000,,ppar_SEADATANET_QC,,SDN:P01::DWIRRPSD,SDN:P06::UFAA,Downwelling vector irradiance as energy of electromagnetic radiation (PAR wavelengths) in the atmosphere by port-mounted cosine-collector radiometer,Watts per square metre,,-1,,,,,,,,,,,
ppar_output,port-mounted PAR instrument output,volts * 10^5,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,V*10^5,,0,5,,ppar_output_SEADATANET_QC,,SDN:P01::DVLTRPSD,SDN:P06::UVP5,Raw signal (voltage) of instrument output by port-mounted PAR cosine-collector radiometer,Volts multiplied by 100000,,-9,,,,,,,,,,,
ppar_output_v,port-mounted par instrument output,volts,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,V,,0,5,,ppar_output_v_SEADATANET_QC,,SDN:P01::DVLTRPSD,SDN:P06::UVLT,Raw signal (voltage) of instrument output by port-mounted PAR cosine-collector radiometer,Volts,,-9,,,,,,,,,,,
pressure,air pressure,mbar,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,air_pressure,CFSN0015,mBar,,0,1100,,pressure_SEADATANET_QC,,SDN:P01::CAPHTU01,SDN:P06::UPBB,Pressure (measured variable) exerted by the atmosphere by barometer and expressed at measurement altitude,Millibars,,-1,SDN:A05::EV_AIRPRESS,Atmospheric pressure,,,,,,,,,
pressure2,air pressure (sensor 2),mbar,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,air_pressure,CFSN0015,mBar,,0,1100,,pressure2_SEADATANET_QC,,SDN:P01::CAPHTU02,SDN:P06::UPBB,Pressure (measured variable) exerted by the atmosphere by barometer (second sensor) and expressed at measurement altitude,Millibars,,-1,SDN:A05::EV_AIRPRESS,Atmospheric pressure,,,,,,,,,
ptir,port total irradiance,W/m2,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,W/m^2,,0,2000,,ptir_SEADATANET_QC,,SDN:P01::CSLRRP01,SDN:P06::UFAA,Downwelling vector irradiance as energy of electromagnetic radiation (solar (300-3000nm) wavelengths) in the atmosphere by port-mounted pyranometer,Watts per square metre,,-1,SDN:A05::EV_RADFLX,Radiative fluxes,,,,,,,,,
ptir_output_v,port-mounted tir instrument output,volts,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,V,,0,5,,ptir_output_v_SEADATANET_QC,,SDN:P01::CVLTRP01,SDN:P06::UVLT,Raw signal (voltage) of instrument output by port-mounted pyranometer,Volts,,-9,,,,,,,,,,,
ptir_output,port-mounted pyranometer instrument output,volts * 10^5,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,V*10^5,,0,5,,ptir_output_SEADATANET_QC,,SDN:P01::CVLTRP01,SDN:P06::UVP5,Raw signal (voltage) of instrument output by port-mounted pyranometer,Volts multiplied by 100000,,-9,,,,,,,,,,,
relwinddir,ship relative wind direction,degrees,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,wind_from_direction,CFSN0036,deg,,0,100,,relwinddir_SEADATANET_QC,,SDN:P01::ERWSSS01,SDN:P06::UAAA,Speed of wind relative to moving platform and heading {wind speed} in the atmosphere by in-situ anemometer,Degrees,,-1,SDN:A05::EV_WDIR,Wind direction,,,,,,,,,
relwindspeed,ship relative wind speed,m/s,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,wind_speed,CFSN0038,m/s,,0,360,,relwindspeed_SEADATANET_QC,,SDN:P01::ERWDSS01,SDN:P06::UVAA,Direction (from) of wind relative to moving platform and heading {wind direction} in the atmosphere by in-situ anemometer,Metres per second,,-1,SDN:A05::EV_WSPD,Wind speed,,,,,,,,,
roll,ships roll,degrees,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,platform_roll,STKKO0AT,deg,,-180,180,,roll_SEADATANET_QC,,SDN:P01::ROLLGP01,SDN:P06::UAAA,Orientation (roll angle) of measurement device by unspecified GPS system,Degrees,,-999,,,,,,,,,,,
salin,sea surface salinity,PSU,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,sea_surface_salinity,CFSN0376,Dmnless,,0,42,,salin_SEADATANET_QC,,SDN:P01::PSALSU01,SDN:P06::UUUU,Practical salinity of the water body by thermosalinograph and computation using UNESCO 1983 algorithm and NO calibration against independent measurements,Dimensionless,,-1,SDN:A05::EV_SALIN,Salinity,,,,,,,,,
seatemp,sea surface temperature,deg C,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,sea_surface_temperature,CFSN0381,degC,,-3,35,,seatemp_SEADATANET_QC,,SDN:P01::TEMPHU01,SDN:P06::UPAA,Temperature of the water body by thermosalinograph hull sensor and NO verification against independent measurements,Degrees Celsius,,-9,SDN:A05::EV_SEATEMP,Temperature,,,,,,,,,
seatemp2,sea surface temperature (sensor 2),deg C,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,sea_surface_temperature,CFSN0381,degC,,-3,35,,seatemp2_SEADATANET_QC,,SDN:P01::TEMPSU01,SDN:P06::UPAA,Temperature of the water body by thermosalinograph and NO verification against independent measurements,Degrees Celsius,,-9,SDN:A05::EV_SEATEMP,Temperature,,,,,,,,,
spar,starboard photosynthetically active radiation,W/m2,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,W/m^2,,0,1000,,spar_SEADATANET_QC,,SDN:P01::DWIRRSSD,SDN:P06::UFAA,Downwelling vector irradiance as energy of electromagnetic radiation (PAR wavelengths) in the atmosphere by starboard-mounted cosine-collector radiometer,Watts per square metre,,-1,,,,,,,,,,,
spar_output_v,starboard-mounted par instrument output,volts,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,V,,0,5,,spar_output_v_SEADATANET_QC,,SDN:P01::DVLTRSSD,SDN:P06::UVLT,Raw signal (voltage) of instrument output by starboard-mounted PAR cosine-collector radiometer,Volts,,-9,,,,,,,,,,,
spar_output,starboard-mounted PAR instrument output,volts * 10^5,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,V*10^5,,0,5,,spar_output_SEADATANET_QC,,SDN:P01::DVLTRSSD,SDN:P06::UVP5,Raw signal (voltage) of instrument output by starboard-mounted PAR cosine-collector radiometer,Volts multiplied by 100000,,-9,,,,,,,,,,,
stir,starboard total irradiance,W/m2,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,W/m^2,,0,2000,,stir_SEADATANET_QC,,SDN:P01::CSLRRS01,SDN:P06::UFAA,Downwelling vector irradiance as energy of electromagnetic radiation (solar (300-3000nm) wavelengths) in the atmosphere by starboard-mounted pyranometer,Watts per square metre,,-1,SDN:A05::EV_RADFLX,Radiative fluxes,,,,,,,,,
stir_output_v,starboard-mounted tir instrument output,volts,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,V,,0,5,,stir_output_v_SEADATANET_QC,,SDN:P01::CVLTRS01,SDN:P06::UVLT,Raw signal (voltage) of instrument output by starboard-mounted pyranometer,Volts,,-9,,,,,,,,,,,
stir_output,starboard-mounted pyranometer instrument output,volts * 10^5,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,V*10^5,,0,5,,stir_output_SEADATANET_QC,,SDN:P01::CVLTRS01,SDN:P06::UVP5,Raw signal (voltage) of instrument output by starboard-mounted pyranometer,Volts multiplied by 100000,,-9,,,,,,,,,,,
temph,housing temperature,deg C,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,degC,,-3,35,,temph_SEADATANET_QC,,SDN:P01::TMESSG01,SDN:P06::UPAA,Temperature of electrical conductivity measurement by thermosalinograph,Degrees Celsius,,-999,,,,,,,,,,,
tir,total irradiance (sensor 2),w/m2,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,W/m^2,,0,2000,,tir_SEADATANET_QC,,SDN:P01::CSLRR101,SDN:P06::UFAA,Downwelling vector irradiance as energy of electromagnetic radiation (solar (300-3000nm) wavelengths) in the atmosphere by pyranometer,Watts per square metre,,-1,SDN:A05::EV_RADFLX,Radiative fluxes,,,,,,,,,
tir2,total irradiance (sensor 2),W/m2,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,W/m^2,,0,2000,,tir2_SEADATANET_QC,,SDN:P01::CSLRR102,SDN:P06::UFAA,Downwelling vector irradiance as energy of electromagnetic radiation (solar (300-3000nm) wavelengths) in the atmosphere by pyranometer (second sensor),Watts per square metre,,-1,SDN:A05::EV_RADFLX,Radiative fluxes,,,,,,,,,
trans_output,transmissometer instrument output,volts,,float32,f4,"'INSTANCE', 'MAXT'",TIME DEPTH LATITUDE LONGITUDE,,,V,,-1,5,,trans_output_SEADATANET_QC,,SDN:P01::TVLTZZ01,SDN:P06::UVLT,Raw signal (voltage) of instrument output by transmissometer,Volts,,-9,,,,,,,,,,,
